协议,个数
MSG_C2S_TreasureBox_Open,18
MSG_C2S_MainDungeon_ChallengeBegin,666
MSG_C2S_Treasury_ChallengeBegin,773
MSG_C2S_WorldBoss_ChallengeBegin,149
MSG_C2S_Flush,8044
MSG_C2S_Equipment_Sale,76
MSG_C2S_TreasureBox_AutoOpen,104
MSG_C2S_Equipment_Wear,141
MSG_C2S_Back_UpgradeLv,24
MSG_C2S_SkillTree_Upgrade,34
MSG_C2S_Item_Use,1338
MSG_C2S_Tower_ChallengeBegin,397
MSG_C2S_Arena_ChallengeBegin,1282
MSG_C2S_Recruit_Roll,1265
MSG_C2S_MainCharacter_Switch,4
MSG_C2S_Honor_AwardQuest,1
MSG_C2S_CompanionBook_UpgradeLv,26
MSG_C2S_Arena_GetScoreRank,25
MSG_C2S_HangUp_ObtainAwards,1
MSG_C2S_FlushQuest,9
MSG_C2S_CharacterCompanion_UpgradeQuality,30
MSG_C2S_InfiniteDungeon_ChallengeBegin,355
MSG_C2S_Formation_Upgrade,103
MSG_C2S_CommonRank_GetList,17
MSG_C2S_Honor_Upgrade,3
MSG_C2S_Formation_Exchange,63
MSG_C2S_Artifact_UpLevel,190
MSG_C2S_Guild_GetAssistInfo,1
MSG_C2S_SyncTime,4
MSG_C2S_Arena_MatchOpponent,4
MSG_C2S_ScoreShop_Buy,4
MSG_C2S_UserInfo_GetDetail,2
MSG_C2S_Guild_UpspeedTech,1
MSG_C2S_Tower_FastSweep,143
MSG_C2S_GuildBoss_ChallengeBegin,5
MSG_C2S_CheckBattleResult,10
MSG_C2S_Rogue_SelectDifficulty,2136
MSG_C2S_Rogue_ChallengeBegin,2198
MSG_C2S_Formation_Get,32
MSG_C2S_Rogue_SelectAward,8
MSG_C2S_Rogue_EnterGrid,7
MSG_C2S_Artifact_UpStar,15
MSG_C2S_Artifact_Compose_UpLevel,2
MSG_C2S_Rogue_BuyShop,2
MSG_C2S_Mail_Award,1
MSG_C2S_Rogue_UseItem,1
MSG_C2S_Arena_OneKeyGetTaskAward,1
MSG_C2S_Back_Equip,2
MSG_C2S_Rogue_FlushShop,5
MSG_C2S_Artifact_Compose_Active,1
MSG_C2S_Back_UpgradeStar,1
MSG_C2S_Rogue_Quit,1
